model,accept_%,review_%,block_%,fraud_in_accept_%,fraud_in_review_%,fraud_in_block_%
baseline_results/logistic_regression,98.98177732523436,0.0,1.018222674765633,0.019509772622468162,,15.0
baseline_results/random_forest,99.85253326779257,0.0438889083950704,0.10357782381236615,0.03340483139350891,88.0,96.61016949152543
bnn_results/bayesian_neural_network,56.75713633650504,43.065552473578876,0.1773111899160844,0.003093102381688834,0.0693000693000693,79.20792079207921
boosting_results/xgboost,99.84375548611355,0.0,0.15624451388645064,0.028132857419161994,,92.13483146067416
