uncertainty_threshold,accept_rate,review_rate,block_rate,fraud_in_accept_rate,fraud_in_review_rate,fraud_in_block_rate,accept_count,review_count,block_count
0.0,0.0,0.9991748885221726,0.0008251114778273235,,0.0010542036370025476,0.8085106382978723,0,56915,47
2.6635882750000005e-05,0.008918226185878305,0.989993328885924,0.001088444928197746,0.0,0.0008334515534118315,0.8225806451612904,508,56392,62
0.006465282165,0.04890979951546645,0.9499841999929778,0.001106000491555774,0.0,0.000850072995398518,0.8253968253968254,2786,54113,63
0.008441786440677966,0.05291246796109687,0.9459815315473473,0.001106000491555774,0.0,0.0008536698524635798,0.8253968253968254,3014,53885,63
0.016883572881355932,0.0672026965345318,0.9316913029739124,0.001106000491555774,0.0,0.0008667633924365472,0.8253968253968254,3828,53071,63
0.025325359322033898,0.07713914539517573,0.9217548541132685,0.001106000491555774,0.0,0.0008761070374250071,0.8253968253968254,4394,52505,63
0.033767145762711864,0.087286261016116,0.9115726273656122,0.0011411116182718304,0.0,0.0008473760231102552,0.8307692307692308,4972,51925,65
0.04220893220338983,0.09729293213019206,0.9015484006881781,0.0011586671816298584,0.0,0.000837325232698524,0.8333333333333334,5542,51354,66
0.0432457793,0.09883782170569853,0.8999859555493136,0.0011762227449878867,0.0,0.0008192724080756851,0.835820895522388,5630,51265,67
0.050650718644067796,0.10744004775113233,0.8913661739405218,0.0011937783083459147,0.0,0.0008074999015244023,0.8382352941176471,6120,50774,68
0.05909250508474576,0.12060672026965345,0.8781819458586426,0.001211333871703943,0.0001455604075691412,0.0007796413649721128,0.8405797101449275,6870,50023,69
0.06753429152542373,0.14086584038481795,0.8579052701801201,0.0012288894350619712,0.0001246261216350947,0.0007776049766718507,0.8428571428571429,8024,48868,70
0.0759760779661017,0.19060075137811172,0.8079070257364559,0.0014922228854323935,9.210647508519849e-05,0.0005649717514124294,0.8352941176470589,10857,46020,85
0.07847358700000001,0.19851831045258242,0.7999894666619852,0.0014922228854323935,8.843296781039972e-05,0.0005705633215563212,0.8352941176470589,11308,45569,85
0.08441786440677966,0.2156525402900179,0.7828552368245497,0.0014922228854323935,8.140670791273201e-05,0.0005830511515260243,0.8352941176470589,12284,44593,85
0.09285965084745762,0.2410905515958007,0.7574172255187669,0.0014922228854323935,7.281730139081045e-05,0.0006026330428333024,0.8352941176470589,13733,43144,85
0.1,0.27492012218672096,0.7235174326744145,0.0015624451388645062,6.385696040868455e-05,0.0006066047121054037,0.8089887640449438,15660,41213,89
0.10130143728813559,0.28078368034830237,0.7176538745128331,0.0015624451388645062,6.252344629235963e-05,0.000611560948164094,0.8089887640449438,15994,40879,89
0.10583971299999999,0.2984270215231207,0.6999929777746567,0.0015800007022225343,5.882698982293076e-05,0.0006019110676397562,0.8111111111111111,16999,39873,90
0.10974322372881357,0.31162880516835784,0.6867911941294196,0.0015800007022225343,5.633485437440144e-05,0.0006134812504792822,0.8111111111111111,17751,39121,90
0.11818501016949153,0.3424563744250553,0.6559460693093642,0.0015975562655805625,5.1263648946532017e-05,0.0006423295150412161,0.8021978021978022,19507,37364,91
0.12662679661016948,0.3769355008602226,0.6214493873108388,0.0016151118289385905,4.657444925713753e-05,0.0006497358682448657,0.8043478260869565,21471,35399,92
0.13274402400000002,0.39838839928373304,0.5999964888873284,0.0016151118289385905,4.406645220993258e-05,0.0006729672001638528,0.8043478260869565,22693,34177,92
0.13506858305084746,0.40713106983603103,0.5912538183350303,0.0016151118289385905,4.312017593031779e-05,0.000682918138899611,0.8043478260869565,23191,33679,92
0.14351036949152543,0.4392050840911485,0.5591622485165549,0.0016326673922966188,3.9971220721080824e-05,0.0006907161470597469,0.8064516129032258,25018,31851,93
0.1519521559322034,0.4686457638425617,0.5296864576384256,0.001667778519012675,3.7460198539052254e-05,0.0006960095452737638,0.8,26695,30172,95
0.16039394237288135,0.4975597766932341,0.5007548892243953,0.0016853340823707033,3.528332510055748e-05,0.0007011639321273314,0.8020833333333334,28342,28524,96
