model,artifact_type,selected_threshold_from_validation,pr_auc_val,roc_auc_val,f1_val,precision_val,recall_val,nll_val,brier_val,ece_val,pr_auc_test,roc_auc_test,f1_test,precision_test,recall_test,nll_test,brier_test,ece_test,model_path,artifact_size_mb,training_time_seconds,load_time_seconds,inference_time_total_seconds,latency_ms_per_sample,mc_samples_used
boosting_results/xgboost,sklearn,0.9294472336769104,0.8253700683989437,0.9753525974267054,0.850828729281768,0.9390243902439024,0.7777777777777778,0.003415668979782871,0.0005489747854880989,0.0003376640688339644,0.8697118764531045,0.9770709634444661,0.8524590163934426,0.9176470588235294,0.7959183673469388,0.0030592424461645647,0.0004911543801426888,0.0005796727736954583,experiments\boosting_results\xgboost.joblib,0.5864076614379883,,0.0799928666674532,0.0731882333445052,0.0012848606675416,
baseline_results/random_forest,sklearn,0.33,0.8119193081807538,0.9465089492963507,0.8241758241758241,0.9036144578313253,0.7575757575757576,0.007688876461701074,0.0005391453951757312,0.0003011364301347098,0.8511200020802322,0.9568721252569682,0.8681318681318682,0.9404761904761905,0.8061224489795918,0.006168587271980186,0.0004344592301300282,0.00029259272263380267,experiments\baseline_results\random_forest.joblib,7.507609367370605,,0.2347037666671288,0.1798235666647087,0.0031569040178488,
bnn_results/bayesian_neural_network,bnn,0.8999524712562561,0.6775506832675534,0.9739014754050894,0.7761194029850746,0.7647058823529411,0.7878787878787878,0.10683087994766131,0.023798249661922455,0.08412555381244984,0.726216428521673,0.976156321419958,0.7706422018348624,0.7,0.8571428571428571,0.10660145641478884,0.023503821343183517,0.08324513436542923,experiments\bnn_results\bayesian_neural_network.pt,0.319554328918457,,0.0202318666658053,17.68939159999718,0.3105472349987216,200.0
baseline_results/logistic_regression,sklearn,0.9999993654269447,0.6807113141715643,0.9747276681486976,0.7675675675675676,0.8255813953488372,0.7171717171717171,0.10156668659769481,0.022153816922877576,0.06435132015189099,0.7178737904575203,0.9725522155260529,0.8080808080808081,0.8,0.8163265306122449,0.10431409331458813,0.02205322380558032,0.06444378721250613,experiments\baseline_results\logistic_regression.joblib,0.004220962524414,,0.0011157333210576,0.0412071333363807,0.0007234144400895,
